date,state,cases,deaths
2021-01-23,New York,13909,164
2021-01-24,New York,12383,195
2021-01-25,New York,11972,201
2021-01-26,New York,11040,183
2021-01-27,New York,10365,161
2021-01-28,New York,13783,205
2021-01-29,New York,12951,186
2021-01-30,New York,12892,171
2021-01-31,New York,11209,182
2021-02-01,New York,8932,176
2021-02-02,New York,7949,170
2021-02-03,New York,7154,163
2021-02-04,New York,6970,155
2021-02-05,New York,7897,170
2021-02-06,New York,11492,198
2021-02-07,New York,9923,177
2021-02-08,New York,8972,125
2021-02-09,New York,8279,171
2021-02-10,New York,6584,168
2021-02-11,New York,10011,141
2021-02-12,New York,8715,146
2021-02-13,New York,8755,157
2021-02-14,New York,8330,136
2021-02-15,New York,6538,121
2021-02-16,New York,6709,131
2021-02-17,New York,5925,124
2021-02-18,New York,9582,150
2021-02-19,New York,8573,162
2021-02-20,New York,8238,114
2021-02-21,New York,6237,113
2021-02-22,New York,6297,108
2021-02-23,New York,6923,108
2021-02-24,New York,6139,118
2021-02-25,New York,8893,110
2021-02-26,New York,8074,124
2021-02-27,New York,8042,111
2021-02-28,New York,7827,118
2021-03-01,New York,6436,104
2021-03-02,New York,6381,98
2021-03-03,New York,6564,119
2021-03-04,New York,7468,101
2021-03-05,New York,8151,107
2021-03-06,New York,8126,95
2021-03-07,New York,7658,90
2021-03-08,New York,5440,64
2021-03-09,New York,6833,79
2021-03-10,New York,6106,92
2021-03-11,New York,7169,116
2021-03-12,New York,8444,69
2021-03-13,New York,6033,93
2021-03-14,New York,6687,105
2021-03-15,New York,7119,62
2021-03-16,New York,6711,87
2021-03-17,New York,6582,62
2021-03-18,New York,5515,87
2021-03-19,New York,5077,75
2021-03-20,New York,6667,68
2021-03-21,New York,3735,26
2021-03-22,New York,4908,17
2021-03-23,New York,6801,18
2021-03-24,New York,20184,254
2021-03-25,New York,8683,74
2021-03-26,New York,8003,58
2021-03-27,New York,8733,83
2021-03-28,New York,8852,91
2021-03-29,New York,8972,111
2021-03-30,New York,5750,48
2021-03-31,New York,7683,94
2021-04-01,New York,9173,82
2021-04-02,New York,8055,74
2021-04-03,New York,7711,96
2021-04-04,New York,7607,82
2021-04-05,New York,6717,71
2021-04-06,New York,6106,44
2021-04-07,New York,6450,93
2021-04-08,New York,8731,56
2021-04-09,New York,8558,77
2021-04-10,New York,7529,62
2021-04-11,New York,6577,83
2021-04-12,New York,5758,83
2021-04-13,New York,5043,52
2021-04-14,New York,6000,94
2021-04-15,New York,6984,73
2021-04-16,New York,6290,53
2021-04-17,New York,6387,69
2021-04-18,New York,5605,43
2021-04-19,New York,5177,45
2021-04-20,New York,4659,61
2021-04-21,New York,4255,45
2021-04-22,New York,5277,71
2021-04-23,New York,4850,62
2021-04-24,New York,4163,58
2021-04-25,New York,4050,52
2021-04-26,New York,3018,40
2021-04-27,New York,3343,76
2021-04-28,New York,3000,21
2021-04-29,New York,3862,69
2021-04-30,New York,3792,51
2021-05-01,New York,3852,63
2021-05-02,New York,2853,39
2021-05-03,New York,2440,59
2021-05-04,New York,2234,60
2021-05-05,New York,2374,56
2021-05-06,New York,2632,33
2021-05-07,New York,2465,39
2021-05-08,New York,3028,41
2021-05-09,New York,2403,37
2021-05-10,New York,1661,37
2021-05-11,New York,1449,42
2021-05-12,New York,2044,57
2021-05-13,New York,2204,41
2021-05-14,New York,2039,34
2021-05-15,New York,1761,11
2021-05-16,New York,1888,40
2021-05-17,New York,1379,32
2021-05-18,New York,1549,31
2021-05-19,New York,1323,25
2021-05-20,New York,1647,26
2021-05-21,New York,1595,24
2021-05-22,New York,1313,17
2021-05-23,New York,1074,19
2021-05-24,New York,964,30
2021-05-25,New York,945,17
2021-05-26,New York,882,26
2021-05-27,New York,1145,21
2021-05-28,New York,930,25
2021-05-29,New York,866,14
2021-05-30,New York,848,16
2021-05-31,New York,524,18
2021-06-01,New York,478,26
2021-06-02,New York,403,9
2021-06-03,New York,489,18
2021-06-04,New York,757,29
2021-06-05,New York,852,12
2021-06-06,New York,491,33
2021-06-07,New York,519,10
2021-06-08,New York,459,11
2021-06-09,New York,426,8
2021-06-10,New York,549,13
2021-06-11,New York,686,15
2021-06-12,New York,430,16
2021-06-13,New York,363,10
2021-06-14,New York,377,9
2021-06-15,New York,337,16
2021-06-16,New York,286,2
2021-06-17,New York,443,14
2021-06-18,New York,415,8
2021-06-19,New York,389,7
2021-06-20,New York,287,2
2021-06-21,New York,277,8
2021-06-22,New York,266,14
2021-06-23,New York,250,8
2021-06-24,New York,383,4
2021-06-25,New York,343,8
2021-06-26,New York,345,6
2021-06-27,New York,374,15
2021-06-28,New York,321,8
2021-06-29,New York,244,4
2021-06-30,New York,275,2
2021-07-01,New York,397,12
2021-07-02,New York,474,2
2021-07-03,New York,279,0
2021-07-04,New York,312,9
2021-07-05,New York,376,4
2021-07-06,New York,307,5
2021-07-07,New York,341,7
2021-07-08,New York,637,4
2021-07-09,New York,754,4
2021-07-10,New York,730,7
2021-07-11,New York,811,2
2021-07-12,New York,642,2
2021-07-13,New York,668,6
2021-07-14,New York,725,11
2021-07-15,New York,929,5
2021-07-16,New York,629,1
2021-07-17,New York,1421,5
2021-07-18,New York,1143,10
2021-07-19,New York,941,4
2021-07-20,New York,1112,5
2021-07-21,New York,1092,7
2021-07-22,New York,1611,7
2021-07-23,New York,1698,2
2021-07-24,New York,1868,3
2021-07-25,New York,2032,9
2021-07-26,New York,1526,7
2021-07-27,New York,1648,1
2021-07-28,New York,1800,12
2021-07-29,New York,2644,2
2021-07-30,New York,2615,7
2021-07-31,New York,3136,9
2021-08-01,New York,2590,8
2021-08-02,New York,2208,7
2021-08-03,New York,3062,13
2021-08-04,New York,2834,7
2021-08-05,New York,3442,14
2021-08-06,New York,3760,3
2021-08-07,New York,4537,13
2021-08-08,New York,3637,15
2021-08-09,New York,1681,6
2021-08-10,New York,1722,8
2021-08-11,New York,7224,40
2021-08-12,New York,4870,29
2021-08-13,New York,4634,10
2021-08-14,New York,4675,15
2021-08-15,New York,4038,22
2021-08-16,New York,4208,10
2021-08-17,New York,3528,33
2021-08-18,New York,4508,13
2021-08-19,New York,5070,16
2021-08-20,New York,3906,16
2021-08-21,New York,6175,37
2021-08-22,New York,4593,19
2021-08-23,New York,3836,26
2021-08-24,New York,3494,16
2021-08-25,New York,3731,29
2021-08-26,New York,5371,31
2021-08-27,New York,6364,23
2021-08-28,New York,5583,24
2021-08-29,New York,2636,23
2021-08-30,New York,5972,31
2021-08-31,New York,3894,24
2021-09-01,New York,4126,28
2021-09-02,New York,5289,50
2021-09-03,New York,5919,24
2021-09-04,New York,3374,16
2021-09-05,New York,6501,42
2021-09-06,New York,3689,30
2021-09-07,New York,3256,32
2021-09-08,New York,2455,19
2021-09-09,New York,6454,68
2021-09-10,New York,5883,18
2021-09-11,New York,6060,37
2021-09-12,New York,3735,19
2021-09-13,New York,5408,41
2021-09-14,New York,4113,46
2021-09-15,New York,4808,33
2021-09-16,New York,6730,45
2021-09-17,New York,6038,29
2021-09-18,New York,3286,17
2021-09-19,New York,7724,38
2021-09-20,New York,3757,23
2021-09-21,New York,5331,57
2021-09-22,New York,4534,43
2021-09-23,New York,5037,39
2021-09-24,New York,6145,61
2021-09-25,New York,3798,16
2021-09-26,New York,6788,51
2021-09-27,New York,2826,16
2021-09-28,New York,5248,37
2021-09-29,New York,5016,64
2021-09-30,New York,4979,47
2021-10-01,New York,5818,43
2021-10-02,New York,3336,17
2021-10-03,New York,3396,23
2021-10-04,New York,6260,41
2021-10-05,New York,3924,33
2021-10-06,New York,6275,41
2021-10-07,New York,5602,19
2021-10-08,New York,5833,53
2021-10-09,New York,3539,26
2021-10-10,New York,2077,24
2021-10-11,New York,7882,51
2021-10-12,New York,3253,43
2021-10-13,New York,4524,55
2021-10-14,New York,4514,45
2021-10-15,New York,6342,18
2021-10-16,New York,4018,19
2021-10-17,New York,3149,30
2021-10-18,New York,5389,43
2021-10-19,New York,3294,31
2021-10-20,New York,4777,37
2021-10-21,New York,4365,39
2021-10-22,New York,3700,38
2021-10-23,New York,3464,30
2021-10-24,New York,2152,24
2021-10-25,New York,5021,50
2021-10-26,New York,2496,34
2021-10-27,New York,4141,39
2021-10-28,New York,3199,23
2021-10-29,New York,5734,40
2021-10-30,New York,3127,27
2021-10-31,New York,2794,26
2021-11-01,New York,5695,49
2021-11-02,New York,2911,23
2021-11-03,New York,4014,47
2021-11-04,New York,4631,30
2021-11-05,New York,4859,47
2021-11-06,New York,3851,34
2021-11-07,New York,3715,20
2021-11-08,New York,5754,35
2021-11-09,New York,4211,43
2021-11-10,New York,5039,37
2021-11-11,New York,6683,40
